DRUG_ID,Screened Compounds:,IC50_Threshold
292,Masitinib,2.263
293,Amuvatinib,2.178
294,MPS-1-IN-1,1.8522
295,NVP-BHG712,1.1748
298,OSI-930,2.7919
299,OSI-027,-2.2484
300,CX-5461,3.6663
301,PHA-793887,-0.37616
302,PI-103,-2.302
303,PIK-93,1.1468
304,SB52334,2.7263
305,TPCA-1,0.988
306,Fedratinib,0.49833
308,Foretinib,-1.2725
309,Y-39983,4.0613
310,YM201636,0.58406
312,Tivozanib,-0.39743
326,GSK690693,3.2864
328,SNX-2112,-3.6872
329,QL-XI-92,3.4059
330,XMD13-2,1.5681
331,QL-X-138,-0.66859
332,XMD15-27,3.6704
333,T0901317,3.2298
341,Selisistat,4.6025
344,THZ-2-49,-0.93204
345,KIN001-270,3.7318
346,THZ-2-102-1,-4.7053
1001,AICA Ribonucleotide,6.1928
1003,Camptothecin,-6.584
1004,Vinblastine,-5.9201
1005,Cisplatin,1.3801
1006,Cytarabine,-1.9516
1007,Docetaxel,-6.897
1008,Methotrexate,-2.4743
1009,Tretinoin,2.5611
1010,Gefitinib,-0.05346
1011,Navitoclax,0.37896
1012,Vorinostat,-0.54854
1013,Nilotinib,1.6795
1014,Refametinib,-0.78749
1015,CI-1040,0.63883
1016,Temsirolimus,-3.8947
1017,Olaparib,2.2434
1018,Veliparib,3.0134
1019,Bosutinib,-0.14537
1020,Lenalidomide,2.9855
1021,Axitinib,0.41918
1022,AZD7762,-2.2742
1023,GW441756,1.2426
1024,Lestaurtinib,-2.4969
1025,SB216763,3.2994
1026,Tanespimycin,-3.2679
1028,VX-702,1.9488
1029,Motesanib,1.7167
1030,KU-55933,2.5527
1031,Elesclomol,-5.3392
1032,Afatinib,-0.22156
1033,Vismodegib,3.2741
1036,PLX-4720,2.3691
1037,BX795,0.37752
1038,NU7441,1.0699
1039,SL0101,3.5531
1042,Doramapimod,3.1334
1043,JNK Inhibitor VIII,3.4725
1046,Wee1 Inhibitor,0.63688
1047,Nutlin-3a (-),2.8063
1049,PD173074,1.3686
1050,ZM447439,0.56209
1052,RO-3306,2.0677
1053,MK-2206,-0.13691
1054,Palbociclib,-0.42572
1057,Dactolisib,-3.9866
1058,Pictilisib,-0.8342
1059,AZD8055,-1.2703
1060,PD0325901,-2.7331
1061,SB590885,2.5695
1066,AZD6482.1,0.72738
1067,CCT007093,3.1306
1069,EHT-1864,2.4876
1091,BMS-536924.1,0.67454
1114,Cetuximab,5.144
1129,PF-4708671,2.6236
1133,Serdemetan,1.5335
1142,HG-5-113-01,0.40836
1143,HG-5-88-01,1.8792
1149,TW 37,-1.9388
1158,XMD11-85h,2.5492
1161,ZG-10,0.056143
1164,XMD8-92,1.7833
1166,QL-VIII-58,-3.0651
1170,CCT-018159,1.6851
1175,Rucaparib,2.1082
1194,SB505124,3.0777
1199,Tamoxifen,2.7296
1203,QL-XII-61,3.2632
1218,JQ1.1,1.3512
1230,IOX2,-0.78038
1236,UNC0638.1,1.7105
1239,YK-4-279,0.030235
1241,CHIR-99021.1,2.2151
1242,(5Z)-7-Oxozeaenol,-0.60596
1243,piperlongumine,0.65044
1248,Daporinad,-7.1803
1259,Talazoparib,-0.082745
1261,rTRAIL,-1.338
1262,UNC1215,1.6932
1264,SGC0946,1.0076
1268,XAV939,2.2288
1371,PLX-4720 (rescreen),2.7717
1372,Trametinib,-2.1451
1373,Dabrafenib,1.9424
1375,Temozolomide,4.6302
1377,Afatinib (rescreen),2.1291
1378,Bleomycin (50 uM),0.18957
1494,SN-38,-6.559
1495,Olaparib.1,2.354
1526,Refametinib (rescreen),-0.30417
1527,Pictilisib (rescreen),-0.76788
1529,Pevonedistat,-1.8842
1530,PFI-3,1.2307
